,Extraction_ID,Fwd_Index,Rev_Index,Sequencing_ID_ITS,fungicide_treatment,shredder,replicate_num,sample_date,cycle,Conidia,Tetrachaetum elegans,Tetracladium marchalianum,Lemonniera aquatica,Hymenoscyphus tetracladius,Alatospora acuminata,Flagellospora curvula,Lemonniera spp.,Alatospora spp.,Tetracladium spp.,Filosporella spp.,Tetracladium apiense,Flagellospora spp.,Mycofalcella calcarata,Anguillospora crassa,Gyoerffyella spp.,Tricladium splendens,Filosporella annelidica,Anguillospora longissima,Triscelophorus monosporus
NG-18810-DFG-ITS2-24_lib318519_6313_1,78,N503,RPI9,DFG_ITS2_24,TU-1,w/o,2,03.03.15,3,Y,0.043352946,0.326659776,0.028544168,0.47151944,0.063675757,0.066132623,0,0.00011529,0,0,0,0,0,0,0,0,0,0,0
NG-18810-DFG-ITS2-26_lib318521_6313_1,80,N503,RPI11,DFG_ITS2_26,control,w/o,3,03.02.15,1,Y,0.204190655,0.010845587,0.041291632,0.007302131,0.607398981,0.072775348,0,0.027033259,0.009446652,0.005526561,0,0.008339803,0.000276712,0.000468874,0,0.005103806,0,0,0
NG-18810-DFG-ITS2-27_lib318522_6313_1,81,N503,RPI12,DFG_ITS2_27,TU-1,w/o,5,03.03.15,3,Y,0.002682952,0.429426985,0.181963284,0.368733146,0.011709495,0.005352263,0,2.73E-05,0.00010459,0,0,0,0,0,0,0,0,0,0
NG-18810-DFG-ITS2-28_lib318523_6313_1,82,N503,RPI13,DFG_ITS2_28,control,w/o,1,17.02.15,2,Y,0.388733521,0.022330792,0.078953797,0.255742745,0.210251443,0.04322116,0.000581224,0.000185318,0,0,0,0,0,0,0,0,0,0,0
NG-18810-DFG-ITS2-3_lib318498_6313_1,57,N502,RPI20,DFG_ITS2_3,TU-1,w/o,5,03.02.15,1,Y,0.479493072,0.006038179,0.083400479,0.007719319,0.347737424,0.054224238,0,0.017378416,0,0,0,0.000825649,0.000397903,0,0.002059148,0,0.000726173,0,0
NG-18810-DFG-ITS2-34_lib318529_6313_1,88,N503,RPI19,DFG_ITS2_34,TU-1,w/o,7,03.03.15,3,Y,0.131498071,0.157907212,0.132785425,0.389344798,0.186707154,0.00144674,0,0,0.0003106,0,0,0,0,0,0,0,0,0,0
NG-18810-DFG-ITS2-39_lib318534_6313_1,93,N503,RPI24,DFG_ITS2_39,TU-1,w/o,2,03.02.15,1,Y,0.514718932,0.014023248,0.208420522,0.013628844,0.183737415,0.040251104,0,0.014505297,0.003210009,0.001303724,0,0,0.004754757,0.001446147,0,0,0,0,0
NG-18810-DFG-ITS2-42_lib318537_6313_1,96,N503,RPI27,DFG_ITS2_42,TU-1,w/o,7,03.02.15,1,Y,0.595794064,0.008926478,0.106988794,0.014166315,0.252403057,0.007326394,0,0.004858864,0.003012613,0.00267853,0.001975196,0,0.000363389,0.001096029,0,0.000175833,0.000234445,0,0
NG-18810-DFG-ITS2-43_lib318538_6313_1,97,N503,RPI28,DFG_ITS2_43,TU-1,w/o,7,17.02.15,2,Y,0.422744519,0.022095541,0.205362272,0.055680764,0.290676313,0.003181758,0,0.000258833,0,0,0,0,0,0,0,0,0,0,0
NG-18810-DFG-ITS2-9_lib318504_6313_1,63,N502,RPI26,DFG_ITS2_9,TU-1,w/o,1,17.02.15,2,Y,0.297846495,0.016218003,0.113860578,0.074287376,0.496389583,0.001397966,0,0,0,0,0,0,0,0,0,0,0,0,0
